item_id,relative,line_start,line_end,historical_status,verdict,reason,current_independent_evidence,original_text
FFH-0105,task_plan.md,206,206,checked_complete_or_pass_claim,supported_scoped,当前pyproject确有ruff/coverage设置；根目录未见nul，gitignore防护存在。此结论仅配置存在。,pyproject.toml; .gitignore; 本轮文件清单,- [x] `nul` 已不存在（计划基线过时，标记已无效）；.gitignore 增加 `nul` 防复发
FFH-0106,task_plan.md,207,208,checked_complete_or_pass_claim,supported_scoped,当前pyproject确有ruff/coverage设置；根目录未见nul，gitignore防护存在。此结论仅配置存在。,pyproject.toml; .gitignore; 本轮文件清单,"- [x] pyproject.toml：ruff（line-length=100 / target-version=py313）、
  coverage（source=scripts，omit tests，fail_under=90）"
FFH-0107,task_plan.md,209,210,checked_complete_or_pass_claim,historical_only,历史live成功/失败和放宽断言；本轮不运行生产写/下载。更换茅台样本或财年不等于支持原失败样本。,revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json; 历史文档叙述/收据，不等于本轮重新执行；当前版本须另验,"- [x] 全量验证：ruff clean；`python -m unittest discover -s tests` → **113 tests OK（5 skip）**；
  coverage **96%**（fetch_filing 95% / filing_contracts 97%，≥ 90% 目标）"
FFH-0108,task_plan.md,211,213,checked_complete_or_pass_claim,supported_scoped,计划确实记录范围漂移，但未建立会随总完成状态保留的失败目标账本；透明记录值得保留。,"task_plan.md:136–177,220–234","- [x] 计划漂移检查：见各阶段 §计划漂移/漂移记录条目（nul 消失、SUPPORTED_CONTRACTS frozenset、
  锁机制 resolve 不锁、场景 7 字段细节、HK 环境阻断、quarantine 无修复闭环、茅台双候选、
  sidecar 无 published_date 顶层字段、生产无 company_wiki.json）"
FFH-0109,task_plan.md,220,220,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| SUPPORTED_COMPANY_WIKI_CONTRACTS 不可下标（frozenset）| 1 | 改为 dict（Phase 1，19 测试 TypeError）|
FFH-0110,task_plan.md,221,221,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,"| 现有 mock 响应缺 schema_version | 1 | 16/24 空格两种缩进 replace_all 补 ""1.0""（Phase 1）|"
FFH-0111,task_plan.md,222,222,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,"| 测试文件被误报""modified since read"" | 1 | 重新 Read 后编辑（Phase 1）|"
FFH-0112,task_plan.md,223,223,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| 隔离实例 13 个 config_error | 1 | fixture 缺 company_wiki.json（filing-fetch --config 是 JSON 启动配置）（Phase 3）|
FFH-0113,task_plan.md,224,224,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| no-op 适配器 envelope 不符 | 1-3 | 逐层补齐 schema_version/status → adapter 身份 → candidates（Phase 3）|
FFH-0114,task_plan.md,225,225,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,"| HK 旧 sidecar 实体不匹配 → not_found | 1 | 目标目录改为 canonical""騰訊控股""（D15 观测，Phase 3）|"
FFH-0115,task_plan.md,226,226,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| 场景 12 间歇 fatal（TimeoutExpired）| 1 | 代码修复：subprocess 超时 → upstream_error（Phase 3）|
FFH-0116,task_plan.md,227,227,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| tearDown WinError 32 | 1 | 清理加重试（deadline 杀 CLI 遗留 cwd=<tmp> 的 PowerShell 孙进程）（Phase 3）|
FFH-0117,task_plan.md,228,228,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| 场景 11 elapsed 断言过紧 | 1 | ≥ 10.0 → ≥ 5.0（实测单轮退避 9.6s 成功）（Phase 3）|
FFH-0118,task_plan.md,229,229,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| 茅台 FY2024 双候选 → AMBIGUOUS | 1 | CN 下载改用宁德时代（Phase 4）|
FFH-0119,task_plan.md,230,230,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| sidecar 断言 published_date 不存在 | 1 | 改断言 filing_date（manifest 派生 published_date）（Phase 4）|
FFH-0120,task_plan.md,231,231,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| staging 断言过严 | 1 | writer 留空 request 目录 → 断言无残留字节（Phase 4）|
FFH-0121,task_plan.md,232,232,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| corrupted 断言 journal 非空 | 1 | REUSED 也记录 journal → 断言无 downloaded_new（Phase 4）|
FFH-0122,task_plan.md,233,233,historical_requirement_or_finding,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| round-trip --config 指向生产 company_wiki.json | 1 | 用 filing-fetch 默认配置（生产无此文件）（Phase 5）|
FFH-0123,task_plan.md,234,234,checked_complete_or_pass_claim,historical_only,逐项属于历史错误/处置记录；其中换样本、改财年、放宽断言是范围调整，不作原业务痛点已关闭证据。,task_plan.md各对应Phase；filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| HK 下载失败（0xC0000005 + 900s 超时）| 3 | 诊断链：内存压力间歇崩溃 → 孤儿进程清理 → **根因=fiscal_year 2024 与 dayu 标题推断 2025 不匹配**，适配器年份过滤永远拒绝 → 改 fiscal_year 2025 通过（Phase 4）|
FFH-0124,findings.md,3,3,historical_requirement_or_finding,supported_scoped,当前harness源码确实声明synthetic companies-only范围，纠偏有效。,filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,> **2026-09-09 补充（只读）**：本仓 E2E 范围已收窄并提交（`bb8d485`）——harness 是 **synthetic T1 only**，真实数据/CLI/provider 层由 R4 测试矩阵承接（[e2e/E2E_DESIGN.md](e2e/E2E_DESIGN.md)）。下方 2026-08-01 的架构/契约结论仍是历史快照；当前消费面证据以 company-wiki R4 目录的 [filing-audit.md](../company-wiki/docs/plans/painpoint-outcome-audit-2026-09-05/filing-audit.md) 为准。本轮未改代码。
FFH-0125,findings.md,6,6,historical_requirement_or_finding,supported_scoped,当前生产接线支持thin CLI和envelope形状；latest模式新增ensure metadata-only分支。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- filing-fetch 是 company-wiki CLI 的瘦客户端：identify → resolve（复用，默认）/ ensure（下载，需 --allow-download）
FFH-0126,findings.md,7,7,historical_requirement_or_finding,historical_only,旧行号/行数及上游现场是2026-08快照；raw capture_ready条件不包含当前consumer安全review，旧config形状也不是现行2.x策略的生产保证。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,- 两模块：scripts/fetch_filing.py（CLI+编排，501 行）+ scripts/filing_contracts.py（校验，154 行）
FFH-0127,findings.md,8,8,historical_requirement_or_finding,supported_scoped,当前生产接线支持thin CLI和envelope形状；latest模式新增ensure metadata-only分支。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- 信任边界：身份/目录/路由/下载/落盘归 company-wiki；请求校验/授权/上游兼容/handle 深校验归 filing-fetch
FFH-0128,findings.md,9,11,historical_requirement_or_finding,historical_only,旧行号/行数及上游现场是2026-08快照；raw capture_ready条件不包含当前consumer安全review，旧config形状也不是现行2.x策略的生产保证。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,"- 调用形状：`python -m company_wiki.source_catalog.cli --config <abs> identify|resolve|ensure`，
  cwd=wiki_root（但绝对 --config 时 cwd 不参与解析）；成功=stdout 单行 JSON+退出 0；
  失败=stderr JSON `{status:""failed"",error_type,error}`+退出 1（company-wiki cli.py:803-816）"
FFH-0129,findings.md,14,15,historical_requirement_or_finding,historical_only,旧行号/行数及上游现场是2026-08快照；raw capture_ready条件不包含当前consumer安全review，旧config形状也不是现行2.x策略的生产保证。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,"- identify（cli.py:195-203）：--query/--market/--exchange；恒退出 0；输出
  {schema_version:""1.0"",status:resolved|ambiguous|conflict|missing,resolved:{…}|null,candidates,reason}"
FFH-0130,findings.md,17,17,historical_requirement_or_finding,supported_scoped,当前生产接线支持thin CLI和envelope形状；latest模式新增ensure metadata-only分支。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","  - resolve 输出扁平 ResolutionResult{schema_version:""1.0"",request_id,status,reason,matches[]}（resolver.py:256-265）"
FFH-0131,findings.md,18,18,historical_requirement_or_finding,supported_scoped,当前生产接线支持thin CLI和envelope形状；latest模式新增ensure metadata-only分支。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",  - ensure 输出含 resolution 嵌套键（acquisition_service.py:43-53）→ 与 fetch_filing.py:400 吻合
FFH-0132,findings.md,19,19,historical_requirement_or_finding,supported_scoped,当前生产接线支持thin CLI和envelope形状；latest模式新增ensure metadata-only分支。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",  - status 枚举：reused_exact|reused_equivalent|ambiguous|missing|identity_conflict
FFH-0133,findings.md,20,20,historical_requirement_or_finding,supported_scoped,当前生产接线支持thin CLI和envelope形状；latest模式新增ensure metadata-only分支。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- matches handle 无 request_id（在 ResolutionResult 上）→ filing-fetch 自行注入（fetch_filing.py:416），脆弱但可用
FFH-0134,findings.md,21,22,historical_requirement_or_finding,historical_only,旧行号/行数及上游现场是2026-08快照；raw capture_ready条件不包含当前consumer安全review，旧config形状也不是现行2.x策略的生产保证。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,"- 锁：CatalogOperationLockedError 有结构化 error_type；锁文件 <catalog_dir>/operation.lock（O_CREAT|O_EXCL）；
  测试可 import company_wiki.source_catalog.lock.CatalogOperationLock 主动持锁"
FFH-0135,findings.md,23,24,historical_requirement_or_finding,historical_only,旧行号/行数及上游现场是2026-08快照；raw capture_ready条件不包含当前consumer安全review，旧config形状也不是现行2.x策略的生产保证。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,"- worker 暂停：状态在 <catalog_dir>/worker_control.json（desired_state:paused）；
  ensure --allow-download 时抛 RuntimeError(""source acquisition is paused; ..."")（cli.py:655-661），**无专属 error_type**"
FFH-0136,findings.md,25,26,historical_requirement_or_finding,historical_only,旧行号/行数及上游现场是2026-08快照；raw capture_ready条件不包含当前consumer安全review，旧config形状也不是现行2.x策略的生产保证。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,"- 下载路由：CN→StockInfoDLSimple/v2-clean-rewrite（json_command_v1，stdin JSON）；
  HK/US→dayu-agent venv（dayu_cli_v1）；两外部项目本机均存在且入口可 import（已实测）"
FFH-0137,findings.md,27,28,historical_requirement_or_finding,historical_only,旧行号/行数及上游现场是2026-08快照；raw capture_ready条件不包含当前consumer安全review，旧config形状也不是现行2.x策略的生产保证。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,"- 落盘：唯一 company_raw root 下 <Entity>/raw/financial_reports/{annual|semi_annual|quarterly}/ 等映射子目录
  （canonical_writer.py:90-101），**非** SKILL.md 字面的 raw/{kind}/"
FFH-0138,findings.md,29,30,historical_requirement_or_finding,historical_only,旧行号/行数及上游现场是2026-08快照；raw capture_ready条件不包含当前consumer安全review，旧config形状也不是现行2.x策略的生产保证。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,"- 实体目录名：_safe_component 去首尾空格和点（""Apple Inc.""→""Apple Inc""）；
  匹配=目录名 casefold 全等 或 sidecar 顶层 ticker/security_id/company_name（resolver.py:513-529）"
FFH-0139,findings.md,31,33,historical_requirement_or_finding,historical_only,旧行号/行数及上游现场是2026-08快照；raw capture_ready条件不包含当前consumer安全review，旧config形状也不是现行2.x策略的生产保证。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,"- capture_ready 四条件（resolver.py:563-578）：https source_url、published_date、snapshot_sha256、
  capture_trace(retrieved_at+collector_name+collector_version)；scan 自动补 hash/capture_trace；
  旧格式 sidecar 唯一可能缺 https_url（source_url 非 https 时 capture_ready=False）"
FFH-0140,findings.md,34,34,historical_requirement_or_finding,historical_only,旧行号/行数及上游现场是2026-08快照；raw capture_ready条件不包含当前consumer安全review，旧config形状也不是现行2.x策略的生产保证。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,- as_of_date < published_date → future_matches → MISSING（resolver.py:405-411）
FFH-0141,findings.md,35,36,historical_requirement_or_finding,historical_only,旧行号/行数及上游现场是2026-08快照；raw capture_ready条件不包含当前consumer安全review，旧config形状也不是现行2.x策略的生产保证。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,"- identify 离线可用：security_master 快照在 <catalog_dir>/security_master/{cn,hk,us}.json；
  复制生产快照到临时实例即可；不传 --refresh 无网络"
FFH-0142,findings.md,37,38,historical_requirement_or_finding,historical_only,旧行号/行数及上游现场是2026-08快照；raw capture_ready条件不包含当前consumer安全review，旧config形状也不是现行2.x策略的生产保证。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,"- 隔离实例：config 必须放 <tmp>/config/source_catalog.yaml（project_root=config 上两级）；
  source_catalog.yaml 顶层键必须恰好 {schema_version,catalog_dir,roots}；单 company_raw root 是 writer 硬要求"
FFH-0143,findings.md,43,43,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",| D1 | 高 | filing_contracts.py:43-46 + fetch_filing.py 全局 | 错误分类漂移：SKILL.md 承诺 config_error/identity_error/not_found/worker_paused 从未产生；全部归为 fatal。worker_paused 在 retryable 集合中是死代码 |
FFH-0144,findings.md,44,44,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",| D2 | 高 | filing_contracts.py:75-98 | validate_request 未强制 company_query（SKILL.md 声明必填）；缺失时以 fatal 而非 request_error 报错；fetch_filing.py:345-350 恒真/死分支；_identity_arguments:158-161 冲突检查不可达 |
FFH-0145,findings.md,45,45,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",| D3 | 中 | fetch_filing.py:394-402 | resolve/ensure 响应 schema_version 从未校验；SUPPORTED_COMPANY_WIKI_CONTRACTS 死常量 |
FFH-0146,findings.md,46,46,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",| D4 | 低 | fetch_filing.py:324 | resolve_filing 未查 math.isfinite(timeout_seconds)（CLI 查了，API 层没查） |
FFH-0147,findings.md,47,47,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","| D5 | 高 | fetch_filing.py:198-213 | worker 暂停（上游 RuntimeError+""paused""）被归为 fatal 不可重试；SKILL.md:116 的承诺无法兑现 |"
FFH-0148,findings.md,48,48,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","| D6 | 高 | tests/test_real_tool_conformance.py 全文 | 测的是 filing-fetch 从不调用的 --company-query 原子模式；2 个 skip 掩盖过期期望（""download_blocked"" 不存在、identity status 无 ""failed""、错误路径读 stdout 实为 stderr）；硬编码 wiki 路径 |"
FFH-0149,findings.md,49,49,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","| D7 | 低 | SKILL.md:22, 105 | raw/{kind}/ 路径模板与实际映射子目录不符 |"
FFH-0150,findings.md,50,50,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",| D8 | 低 | SKILL.md:98-102 | 退出码表未覆盖 upstream_error/catalog_locked 耗尽/worker_paused（实际也走 exit 2） |
FFH-0151,findings.md,51,51,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",| D9 | 低 | filing_contracts.py:19-20 | GAP_RECEIPT_SCHEMA_VERSION / DOWNLOAD_AUTHORIZATION_SCHEMA_VERSION 死常量 |
FFH-0152,findings.md,52,52,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",| D10 | 低 | 仓库根目录 | 垃圾文件 `nul`（Windows 重定向事故产物，0 字节） |
FFH-0153,findings.md,53,53,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",| D11 | 低 | tests/test_fetch_filing.py | 两对重复测试；test_main_fatal_error_exit_code 名不符实（实为成功路径） |
FFH-0154,findings.md,54,54,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",| D12 | 中 | fetch_filing.py:452-457 | --request-file/stdin 解析失败 → exit 1 fatal，应为 request_error/exit 2 |
FFH-0155,findings.md,55,55,checked_complete_or_pass_claim,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",| D13 | 中 | filing_contracts.py:113-116 | request_id 无非空校验（resolution 缺时注入 None 可通过） |
FFH-0156,findings.md,56,56,historical_requirement_or_finding,superseded,对应旧D1–D14原始缺陷大部分已被当前显式校验/测试或文档更正取代；保留历史诊断，不能仍列作未修。现行文档另有新漂移。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",| D14 | 中 | filing_contracts.py:75-98 | market hint 无白名单校验；非法值漏到上游 argparse 退出 2 → 映射 fatal 且信息混乱 |
FFH-0157,findings.md,57,57,historical_requirement_or_finding,insufficient_evidence,目录别名导致miss的风险不能靠把HK fixture移到canonical目录证明修复；当前真实样本未覆盖任意别名/外部根唯一副本。,filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope; revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json,"| D15 | 观察项 | company-wiki 侧 | canonical_name 与目录名不一致时（如官方名 vs 目录 ""AMD""）可能 reuse miss→重复下载；filing-fetch 无法独修，E2E 场景 2 提供观测 |"
FFH-0158,findings.md,60,60,checked_complete_or_pass_claim,historical_only,原测试盘点是修复前基线；今天280隔离测试不回写历史数量，也不把mock与实际CLI等同。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip); 历史文档叙述/收据，不等于本轮重新执行；当前版本须另验",- 66 通过（60 mock patch subprocess.run + 6 live，2 skip），~32s；覆盖声称 90%
FFH-0159,findings.md,61,61,historical_requirement_or_finding,historical_only,原测试盘点是修复前基线；今天280隔离测试不回写历史数量，也不把mock与实际CLI等同。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip); 历史文档叙述/收据，不等于本轮重新执行；当前版本须另验",- mock 层从未真实验证：进程参数序列化、cwd/env、PYTHONUTF8、CREATE_NO_WINDOW、超时传播、重试循环、退出码
FFH-0160,findings.md,62,62,historical_requirement_or_finding,historical_only,原测试盘点是修复前基线；今天280隔离测试不回写历史数量，也不把mock与实际CLI等同。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip); 历史文档叙述/收据，不等于本轮重新执行；当前版本须另验",- 已有：CN（中微公司）/HK（小米）/US（AMD）mock 身份验证；not_found/ambiguous/hash 损坏/路径逃逸/未来日期等单点
